2025-08-09 10:01:50,[abs] - Mettere a posto gli appunti e fare preventivo | Struttura dei model,"[*] distratto, delaware ancolto musica",12.05
2025-08-09 10:55:02,[abs] - M,distrazione mercoledi,15.49
2025-08-09 11:23:20,[abs] - Preventivo annunci,distratto mercoledi,17.40
2025-08-09 17:38:52,[abs] - Preventivazione,"[***] Non male ma distratto un po TV, Ragionamenrti su DOCKER",38.29
2025-08-09 18:39:01,sono un po distratto,da recuperare almeno uin po,0.34
2025-08-09 18:44:41,[abs] -  preventivo per  Annunci e Notifiche  Conversioni Applicazione,[***] passo passo,20.89
2025-08-09 19:06:14,[studio] - Docker di prova con Laravel,incominciato ma poi distratto con unieuro,13.35
2025-08-09 19:19:55,[studio] -,[*] ripresa dopo ricerca pc,22.11
2025-08-09 20:58:19,[docker] - ripresa doker laravel,problemi problemi problemi  con docker,23.46
2025-08-09 21:22:06,[docker] - Vado avanti per cercar edi fasr funzinare,distratto,17.79
2025-08-09 21:40:03,[docker] - ripres,guardoi il telefilm,59.53
